"id","opis","naziv","ekstenzija","url","binarni","dozvoljen"
1,"3D Crossword Plugin","application/vnd.hzn-3d-crossword",".x3d","http://www.iana.org/assignments/media-types/application/vnd.hzn-3d-crossword","t","f"
2,"3GP","video/3gpp",".3gp","http://en.wikipedia.org/wiki/3GP_and_3G2","t","f"
3,"3GP2","video/3gpp2",".3g2","http://en.wikipedia.org/wiki/3GP_and_3G2","t","f"
4,"3GPP MSEQ File","application/vnd.mseq",".mseq","http://www.iana.org/assignments/media-types/application/vnd.mseq","t","f"
5,"3M Post It Notes","application/vnd.3m.post-it-notes",".pwn","http://www.iana.org/assignments/media-types/application/vnd.3M.Post-it-Notes","t","f"
6,"3rd Generation Partnership Project - Pic Large","application/vnd.3gpp.pic-bw-large",".plb","http://www.3gpp.org/specifications","t","f"
7,"3rd Generation Partnership Project - Pic Small","application/vnd.3gpp.pic-bw-small",".psb","http://www.3gpp.org/specifications","t","f"
8,"3rd Generation Partnership Project - Pic Var","application/vnd.3gpp.pic-bw-var",".pvb","http://www.3gpp.org/specifications","t","f"
9,"3rd Generation Partnership Project - Transaction Capabilities Application Part","application/vnd.3gpp2.tcap",".tcap","http://www.3gpp.org/specifications","t","f"
10,"7-Zip","application/x-7z-compressed",".7z","http://en.wikipedia.org/wiki/7-Zip","t","f"
11,"AbiWord","application/x-abiword",".abw","http://en.wikipedia.org/wiki/AbiWord","t","f"
12,"Ace Archive","application/x-ace-compressed",".ace","http://en.wikipedia.org/wiki/ACE_%28file_format%29","t","f"
13,"Active Content Compression","application/vnd.americandynamics.acc",".acc","http://www.iana.org/assignments/media-types/application/vnd.americandynamics.acc","t","f"
14,"ACU Cobol","application/vnd.acucobol",".acu","http://www.iana.org/assignments/media-types/application/vnd-acucobol","t","f"
15,"ACU Cobol","application/vnd.acucorp",".atc","http://www.iana.org/assignments/media-types/application/vnd-acucobol","t","f"
16,"Adaptive differential pulse-code modulation","audio/adpcm",".adp","http://en.wikipedia.org/wiki/ADPCM","t","f"
17,"Adobe (Macropedia) Authorware - Binary File","application/x-authorware-bin",".aab","http://en.wikipedia.org/wiki/Macromedia_Authorware","t","f"
18,"Adobe (Macropedia) Authorware - Map","application/x-authorware-map",".aam","http://en.wikipedia.org/wiki/Macromedia_Authorware","t","f"
19,"Adobe (Macropedia) Authorware - Segment File","application/x-authorware-seg",".aas","http://en.wikipedia.org/wiki/Macromedia_Authorware","t","f"
20,"Adobe AIR Application","application/vnd.adobe.air-application-installer-package+zip",".air","http://help.adobe.com/en_US/air/build/air_buildingapps.pdf","t","f"
21,"Adobe Flash","application/x-shockwave-flash",".swf","http://en.wikipedia.org/wiki/Swf","t","f"
22,"Adobe Flex Project","application/vnd.adobe.fxp",".fxp","http://www.iana.org/assignments/media-types/application/vnd.adobe.fxp","t","f"
23,"Adobe Portable Document Format","application/pdf",".pdf","http://www.adobe.com/products/acrobat/adobepdf.html","t","f"
24,"Adobe PostScript Printer Description File Format","application/vnd.cups-ppd",".ppd","http://www.iana.org/assignments/media-types/application/vnd.cups-ppd","t","f"
25,"Adobe Shockwave Player","application/x-director",".dir","http://en.wikipedia.org/wiki/Adobe_Shockwave_Player","t","f"
26,"Adobe XML Data Package","application/vnd.adobe.xdp+xml",".xdp","http://en.wikipedia.org/wiki/XML_Data_Package","t","f"
27,"Adobe XML Forms Data Format","application/vnd.adobe.xfdf",".xfdf","http://en.wikipedia.org/wiki/XFDF#Interactive_elements","t","f"
28,"Advanced Audio Coding (AAC)","audio/x-aac",".aac","http://en.wikipedia.org/wiki/Advanced_Audio_Coding","t","f"
29,"Ahead AIR Application","application/vnd.ahead.space",".ahead","http://www.iana.org/assignments/media-types/application/vnd.ahead.space","t","f"
30,"AirZip FileSECURE","application/vnd.airzip.filesecure.azf",".azf","http://www.iana.org/assignments/media-types/application/vnd.airzip.filesecure.azf","t","f"
31,"AirZip FileSECURE","application/vnd.airzip.filesecure.azs",".azs","http://www.iana.org/assignments/media-types/application/vnd.airzip.filesecure.azs","t","f"
32,"Amazon Kindle eBook format","application/vnd.amazon.ebook",".azw","https://kdp.amazon.com/self-publishing/help?topicId=A328FYMFAE7VNY","t","f"
33,"AmigaDE","application/vnd.amiga.ami",".ami","http://www.iana.org/assignments/media-types/application/vnd.amiga.ami","t","f"
34,"Andrew Toolkit","application/andrew-inset","N/A","http://www.iana.org/assignments/media-types/application/andrew-inset","t","f"
35,"Android Package Archive","application/vnd.android.package-archive",".apk","http://en.wikipedia.org/wiki/APK_%28file_format%29","t","f"
36,"ANSER-WEB Terminal Client - Certificate Issue","application/vnd.anser-web-certificate-issue-initiation",".cii","http://www.iana.org/assignments/media-types/application/vnd.anser-web-certificate-issue-initiation","t","f"
37,"ANSER-WEB Terminal Client - Web Funds Transfer","application/vnd.anser-web-funds-transfer-initiation",".fti","http://www.iana.org/assignments/media-types/application/vnd.anser-web-funds-transfer-initiation","t","f"
38,"Antix Game Player","application/vnd.antix.game-component",".atx","http://www.iana.org/assignments/media-types/application/vnd.antix.game-component","t","f"
39,"Apple Installer Package","application/vnd.apple.installer+xml",".mpkg","http://www.iana.org/assignments/media-types/application/vnd.apple.installer+xml","t","f"
40,"Applixware","application/applixware",".aw","http://www.vistasource.com/en/apl.php","t","f"
41,"Archipelago Lesson Player","application/vnd.hhe.lesson-player",".les","http://www.iana.org/assignments/media-types/application/vnd.hhe.lesson-player","t","f"
42,"Arista Networks Software Image","application/vnd.aristanetworks.swi",".swi","http://www.iana.org/assignments/media-types/application/vnd.aristanetworks.swi","t","f"
43,"Assembler Source File","text/x-asm",".s","http://en.wikipedia.org/wiki/Assembly_language","f","f"
44,"Atom Publishing Protocol","application/atomcat+xml",".atomcat","http://www.rfc-editor.org/rfc/rfc5023.txt","t","f"
45,"Atom Publishing Protocol Service Document","application/atomsvc+xml",".atomsvc","http://www.rfc-editor.org/rfc/rfc5023.txt","t","f"
46,"Atom Syndication Format","application/atom+xml",".atom","http://tools.ietf.org/html/rfc4287","t","f"
47,"Attribute Certificate","application/pkix-attr-cert",".ac","http://tools.ietf.org/html/rfc5877","t","f"
48,"Audio Interchange File Format","audio/x-aiff",".aif","http://en.wikipedia.org/wiki/Audio_Interchange_File_Format","t","f"
49,"Audio Video Interleave (AVI)","video/x-msvideo",".avi","http://en.wikipedia.org/wiki/Audio_Video_Interleave","t","f"
50,"Audiograph","application/vnd.audiograph",".aep","http://www.iana.org/assignments/media-types/application/vnd.audiograph","t","f"
51,"AutoCAD DXF","image/vnd.dxf",".dxf","http://en.wikipedia.org/wiki/Dxf","t","f"
52,"Autodesk Design Web Format (DWF)","model/vnd.dwf",".dwf","http://en.wikipedia.org/wiki/Design_Web_Format","t","f"
53,"BAS Partitur Format","text/plain-bas",".par","http://www.bas.uni-muenchen.de/Bas/BasFormatseng.html#Partitur","f","f"
54,"Binary CPIO Archive","application/x-bcpio",".bcpio","http://en.wikipedia.org/wiki/Cpio","t","f"
55,"Binary Data","application/octet-stream",".bin","http://www.freeformatter.com/mime-types-list.html","t","f"
56,"Bitmap Image File","image/bmp",".bmp","http://en.wikipedia.org/wiki/BMP_file_format","t","f"
57,"BitTorrent","application/x-bittorrent",".torrent","http://en.wikipedia.org/wiki/BitTorrent_%28protocol%29","t","f"
58,"Blackberry COD File","application/vnd.rim.cod",".cod","http://www.freeformatter.com/mime-types-list.html","t","f"
59,"Blueice Research Multipass","application/vnd.blueice.multipass",".mpm","http://www.cisionwire.com/blueice-research/r/the-multipass-gives-pda-users-better-security,e37928","t","f"
60,"BMI Drawing Data Interchange","application/vnd.bmi",".bmi","http://www.iana.org/assignments/media-types/application/vnd.bmi","t","f"
61,"Bourne Shell Script","application/x-sh",".sh","http://en.wikipedia.org/wiki/Bourne_shell","t","f"
62,"BTIF","image/prs.btif",".btif","http://www.iana.org/assignments/media-types/image/prs.btif","t","f"
63,"BusinessObjects","application/vnd.businessobjects",".rep","http://www.iana.org/assignments/media-types/application/vnd.businessobjects","t","f"
64,"Bzip Archive","application/x-bzip",".bz","http://en.wikipedia.org/wiki/Bzip","t","f"
65,"Bzip2 Archive","application/x-bzip2",".bz2","http://en.wikipedia.org/wiki/Bzip","t","f"
66,"C Shell Script","application/x-csh",".csh","http://en.wikipedia.org/wiki/C_shell","t","f"
67,"C Source File","text/x-c",".c","http://en.wikipedia.org/wiki/C_%28programming_language%29","f","f"
68,"CambridgeSoft Chem Draw","application/vnd.chemdraw+xml",".cdxml","http://www.iana.org/assignments/media-types/application/vnd.chemdraw+xml","t","f"
69,"Cascading Style Sheets (CSS)","text/css",".css","http://en.wikipedia.org/wiki/Css","f","f"
70,"ChemDraw eXchange file","chemical/x-cdx",".cdx","http://www.cambridgesoft.com/services/documentation/sdk/chemdraw/cdx/","t","f"
71,"Chemical Markup Language","chemical/x-cml",".cml","http://en.wikipedia.org/wiki/Chemical_Markup_Language","t","f"
72,"Chemical Style Markup Language","chemical/x-csml",".csml","http://en.wikipedia.org/wiki/Chemical_file_format","t","f"
73,"CIM Database","application/vnd.contact.cmsg",".cdbcmsg","http://www.iana.org/assignments/media-types/application/vnd.contact.cmsg","t","f"
74,"Claymore Data Files","application/vnd.claymore",".cla","http://www.iana.org/assignments/media-types/application/vnd.claymore","t","f"
75,"Clonk Game","application/vnd.clonk.c4group",".c4g","http://www.iana.org/assignments/media-types/application/vnd.clonk.c4group","t","f"
76,"Close Captioning - Subtitle","image/vnd.dvb.subtitle",".sub","http://en.wikipedia.org/wiki/Closed_captioning","t","f"
77,"Cloud Data Management Interface (CDMI) - Capability","application/cdmi-capability",".cdmia","http://www.rfc-editor.org/info/rfc6208","t","f"
78,"Cloud Data Management Interface (CDMI) - Contaimer","application/cdmi-container",".cdmic","http://www.rfc-editor.org/info/rfc6209","t","f"
79,"Cloud Data Management Interface (CDMI) - Domain","application/cdmi-domain",".cdmid","http://www.rfc-editor.org/info/rfc6210","t","f"
80,"Cloud Data Management Interface (CDMI) - Object","application/cdmi-object",".cdmio","http://www.rfc-editor.org/info/rfc6211","t","f"
81,"Cloud Data Management Interface (CDMI) - Queue","application/cdmi-queue",".cdmiq","http://www.rfc-editor.org/info/rfc6212","t","f"
82,"ClueTrust CartoMobile - Config","application/vnd.cluetrust.cartomobile-config",".c11amc","http://www.iana.org/assignments/media-types/application/vnd.cluetrust.cartomobile-config","t","f"
83,"ClueTrust CartoMobile - Config Package","application/vnd.cluetrust.cartomobile-config-pkg",".c11amz","http://www.iana.org/assignments/media-types/application/vnd.cluetrust.cartomobile-config","t","f"
84,"CMU Image","image/x-cmu-raster",".ras","http://www.freeformatter.com/mime-types-list.html","t","f"
85,"COLLADA","model/vnd.collada+xml",".dae","http://www.iana.net/assignments/media-types/model/vnd.collada+xml","t","f"
86,"Comma-Seperated Values","text/csv",".csv","http://en.wikipedia.org/wiki/Comma-separated_values","f","f"
87,"Compact Pro","application/mac-compactpro",".cpt","http://www.cyclos.com/compactpro.htm","t","f"
88,"Compiled Wireless Markup Language (WMLC)","application/vnd.wap.wmlc",".wmlc","http://www.iana.org/assignments/media-types/application/vnd-wap-wmlc","t","f"
89,"Computer Graphics Metafile","image/cgm",".cgm","http://en.wikipedia.org/wiki/Computer_Graphics_Metafile","t","f"
90,"CoolTalk","x-conference/x-cooltalk",".ice","http://en.wikipedia.org/wiki/CoolTalk","t","f"
91,"Corel Metafile Exchange (CMX)","image/x-cmx",".cmx","http://en.wikipedia.org/wiki/CorelDRAW","t","f"
92,"CorelXARA","application/vnd.xara",".xar","http://www.iana.org/assignments/media-types/application/vnd.xara","t","f"
93,"CosmoCaller","application/vnd.cosmocaller",".cmc","http://www.iana.org/assignments/media-types/application/vnd.cosmocaller","t","f"
94,"CPIO Archive","application/x-cpio",".cpio","http://en.wikipedia.org/wiki/Cpio","t","f"
95,"CrickSoftware - Clicker","application/vnd.crick.clicker",".clkx","http://www.iana.org/assignments/media-types/application/vnd.crick.clicker","t","f"
96,"CrickSoftware - Clicker - Keyboard","application/vnd.crick.clicker.keyboard",".clkk","http://www.iana.org/assignments/media-types/application/vnd.crick.clicker","t","f"
97,"CrickSoftware - Clicker - Palette","application/vnd.crick.clicker.palette",".clkp","http://www.iana.org/assignments/media-types/application/vnd.crick.clicker","t","f"
98,"CrickSoftware - Clicker - Template","application/vnd.crick.clicker.template",".clkt","http://www.iana.org/assignments/media-types/application/vnd.crick.clicker","t","f"
99,"CrickSoftware - Clicker - Wordbank","application/vnd.crick.clicker.wordbank",".clkw","http://www.iana.org/assignments/media-types/application/vnd.crick.clicker","t","f"
100,"Critical Tools - PERT Chart EXPERT","application/vnd.criticaltools.wbs+xml",".wbs","http://www.iana.org/assignments/media-types/application/vnd.criticaltools.wbs+xml","t","f"
101,"CryptoNote","application/vnd.rig.cryptonote",".cryptonote","http://www.iana.org/assignments/media-types/application/vnd.rig.cryptonote","t","f"
102,"Crystallographic Interchange Format","chemical/x-cif",".cif","http://www.iucr.org/resources/cif","t","f"
103,"CrystalMaker Data Format","chemical/x-cmdf",".cmdf","http://www.crystalmaker.com/crystalmaker/whatis.html","t","f"
104,"CU-SeeMe","application/cu-seeme",".cu","http://www.wpine.com/","t","f"
105,"CU-Writer","application/prs.cww",".cww","http://www.freeformatter.com/mime-types-list.html","t","f"
106,"Curl - Applet","text/vnd.curl",".curl","http://developers.curlap.com/curl/docs/caede/en/docs/en/dguide/serving-curl-applets.html","f","f"
107,"Curl - Detached Applet","text/vnd.curl.dcurl",".dcurl","http://developers.curlap.com/curl/docs/caede/en/docs/en/dguide/serving-curl-applets.html","f","f"
